Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.47304305711578926,0.6860211737397389,0.8413940371269447
Row Attr Scores Mean,0.47304305711578926,0.6860211766246459,0.8413940352499754
Recursive Attr Scores Mean,0.47304305711578926,0.6860211743174135,0.8413940373832749
Seq Attr Scores Var,0.08753493170882945,0.10963345962864958,0.17523079933130303
Row Attr Scores Var,0.08753493170882945,0.10963345010647918,0.17523078599265407
Recursive Attr Scores Var,0.08753493170882945,0.10963345657790624,0.17523079399626604
Avg Sample Time (s),0.39496162329334766
