Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.380501837773772,0.47191601165232805,0.49754671787248334
Row Attr Scores Mean,0.43543202777463036,0.6026027106951044,0.6847640280075886
Recursive Attr Scores Mean,0.4048827996545175,0.5258829835461803,0.5728237540363893
Seq Attr Scores Var,0.0677209885478184,0.09405325321379053,0.10945206382636476
Row Attr Scores Var,0.07167367412045138,0.10258975470972884,0.1423739948474189
Recursive Attr Scores Var,0.06431722502276474,0.09119410328463626,0.1127832718649843
Avg Sample Time (s),9.280945536424406
