Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.3910581635855912,0.48798172673996626,0.519432798505437
Row Attr Scores Mean,0.3910581635855912,0.4879817314362772,0.5194328051654629
Recursive Attr Scores Mean,0.3910581635855912,0.4879817313520434,0.5194328046260197
Seq Attr Scores Var,0.06847400831171979,0.09688755864676066,0.11259779684975352
Row Attr Scores Var,0.06847400831171979,0.09688756070391653,0.11259779918213476
Recursive Attr Scores Var,0.06847400831171979,0.09688756062984176,0.1125977992151921
Avg Sample Time (s),0.45977030918933454
