attr_func,context_tokens,time_mean,time_std,mem_mean,mem_std,statuses
IG,10,4.8742,0.8753,4.3053,0.0004,ok|ok|ok
attention_I_G,10,5.1400,0.2842,4.3057,0.0006,ok|ok|ok
perturbation_all,10,0.7088,0.1815,4.5897,0.2593,ok|ok|ok
perturbation_REAGENT,10,0.7831,0.0247,4.7735,0.0000,ok|ok|ok
perturbation_CLP,10,0.5846,0.0423,4.7735,0.0000,ok|ok|ok
ifr_all_positions,10,0.1907,0.0297,4.0189,0.1124,ok|ok|ok
ifr_multi_hop,10,0.2562,0.0180,3.6733,0.0000,ok|ok|ok
perturbation_all,2000,351.0895,0.2534,9.1587,0.0039,ok|ok|ok
perturbation_REAGENT,2000,472.2131,11.2419,9.1558,0.0022,ok|ok|ok
perturbation_CLP,2000,384.0678,6.9754,10.3993,0.0020,ok|ok|ok
ifr_all_positions,2000,3.4470,0.0214,14.4876,0.0005,ok|ok|ok
ifr_multi_hop,2000,3.3282,0.0998,13.8077,0.0000,ok|ok|ok
