method,10,100,500,1000,2000,5000,10000
IG,4.8742,11.4560,34.1383,69.6472,NA,NA,NA
attention_I_G,5.1400,12.6742,35.6849,71.7993,NA,NA,NA
ifr_all_positions,0.1907,0.3352,0.6562,1.3525,3.4470,14.1748,NA
ifr_multi_hop,0.2562,0.3769,0.5194,1.1483,3.3282,16.4116,NA
perturbation_CLP,0.5846,3.5882,16.7111,63.9773,384.0678,3513.5481,NA
perturbation_REAGENT,0.7831,5.6193,29.2347,98.5637,472.2131,4027.5337,NA
perturbation_all,0.7088,4.3540,19.1862,64.3122,351.0895,3507.0477,NA
