Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.17106979038124367,0.23103243554583808,0.24374734313739657
Row Attr Scores Mean,0.17106979038124367,0.23103243346747887,0.2437473404996352
Recursive Attr Scores Mean,0.17106979038124367,0.23103243587852085,0.24374734485108984
Seq Attr Scores Var,0.08072476422681996,0.07605723512764764,0.08704688435311045
Row Attr Scores Var,0.08072476422681996,0.07605723952858827,0.08704688817160532
Recursive Attr Scores Var,0.08072476422681996,0.07605724080608647,0.08704688559209296
Avg Sample Time (s),1.032968306625262
