Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.3979223541743236,0.6827493862443944,0.7325165717010614
Row Attr Scores Mean,0.3979223541743236,0.682749386094098,0.732516571734863
Recursive Attr Scores Mean,0.3979223541743236,0.6827493974816015,0.7325165833735872
Seq Attr Scores Var,0.09651720363553837,0.14053336865909505,0.18649403581751062
Row Attr Scores Var,0.09651720363553837,0.1405333699189044,0.18649404085207005
Recursive Attr Scores Var,0.09651720363553837,0.14053335788190344,0.18649403054995586
Avg Sample Time (s),0.6735296203102916
