Method,RISE,MAS,RISE+AP
Seq Attr Scores Mean,0.1965553820211453,0.2737621541256716,0.2762145581692996
Row Attr Scores Mean,0.20577809564706026,0.2982566242961463,0.30050300056359114
Recursive Attr Scores Mean,0.20268471762376217,0.28942040917315065,0.2918312190192614
Seq Attr Scores Var,0.088007491764252,0.11674997701111291,0.11901928022286881
Row Attr Scores Var,0.08983721975268029,0.13486971145906537,0.13707476142682423
Recursive Attr Scores Var,0.09134727326528211,0.13185422544139397,0.1341953392341867
Avg Sample Time (s),16.029514004411176
